Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.4010E+03,.9008E+00,.9615E+00,.9615E+00,.9008E+00
.4020E+03,.9536E+00,.1014E+01,.1014E+01,.9536E+00
.4030E+03,.9089E+00,.9630E+00,.9630E+00,.9089E+00
.4040E+03,.8980E+00,.9480E+00,.9480E+00,.8980E+00
.4050E+03,.9008E+00,.9475E+00,.9475E+00,.9008E+00
.4060E+03,.8890E+00,.9318E+00,.9318E+00,.8890E+00
.4070E+03,.8775E+00,.9165E+00,.9165E+00,.8775E+00
.4080E+03,.9148E+00,.9521E+00,.9521E+00,.9148E+00
.4090E+03,.9822E+00,.1019E+01,.1019E+01,.9822E+00
.4100E+03,.8607E+00,.8896E+00,.8896E+00,.8607E+00
.4110E+03,.9350E+00,.9633E+00,.9633E+00,.9350E+00
.4120E+03,.1007E+01,.1034E+01,.1034E+01,.1007E+01
.4130E+03,.9851E+00,.1008E+01,.1008E+01,.9851E+00
.4140E+03,.1000E+01,.1020E+01,.1020E+01,.1000E+01
.4150E+03,.1005E+01,.1022E+01,.1022E+01,.1005E+01
.4160E+03,.1026E+01,.1040E+01,.1040E+01,.1026E+01
.4170E+03,.1004E+01,.1014E+01,.1014E+01,.1004E+01
.4180E+03,.9880E+00,.9954E+00,.9954E+00,.9880E+00
.4190E+03,.1004E+01,.1008E+01,.1008E+01,.1004E+01
.4200E+03,.1002E+01,.1004E+01,.1004E+01,.1002E+01
.4210E+03,.1051E+01,.1050E+01,.1050E+01,.1051E+01
.4220E+03,.1002E+01,.9974E+00,.9974E+00,.1002E+01
.4230E+03,.9814E+00,.9740E+00,.9740E+00,.9814E+00
.4240E+03,.1041E+01,.1030E+01,.1030E+01,.1041E+01
.4250E+03,.1042E+01,.1028E+01,.1028E+01,.1042E+01
.4260E+03,.1017E+01,.1001E+01,.1001E+01,.1017E+01
.4270E+03,.1000E+01,.9817E+00,.9817E+00,.1000E+01
.4280E+03,.9770E+00,.9562E+00,.9562E+00,.9770E+00
.4290E+03,.9274E+00,.9052E+00,.9052E+00,.9274E+00
.4300E+03,.8134E+00,.7918E+00,.7918E+00,.8134E+00
.4310E+03,.8086E+00,.7850E+00,.7850E+00,.8086E+00
.4320E+03,.1046E+01,.1013E+01,.1013E+01,.1046E+01
.4330E+03,.1054E+01,.1018E+01,.1018E+01,.1054E+01
.4340E+03,.9816E+00,.9455E+00,.9455E+00,.9816E+00
.4350E+03,.1028E+01,.9875E+00,.9875E+00,.1028E+01
.4360E+03,.1160E+01,.1112E+01,.1112E+01,.1160E+01
.4370E+03,.1146E+01,.1096E+01,.1096E+01,.1146E+01
.4380E+03,.1046E+01,.9976E+00,.9976E+00,.1046E+01
.4390E+03,.1085E+01,.1032E+01,.1032E+01,.1085E+01
.4400E+03,.1122E+01,.1064E+01,.1064E+01,.1122E+01
.4410E+03,.1165E+01,.1103E+01,.1103E+01,.1165E+01
.4420E+03,.1252E+01,.1182E+01,.1182E+01,.1252E+01
.4430E+03,.1223E+01,.1152E+01,.1152E+01,.1223E+01
.4440E+03,.1251E+01,.1176E+01,.1176E+01,.1251E+01
.4450E+03,.1227E+01,.1151E+01,.1151E+01,.1227E+01
.4460E+03,.1173E+01,.1098E+01,.1098E+01,.1173E+01
.4470E+03,.1270E+01,.1186E+01,.1186E+01,.1270E+01
.4480E+03,.1293E+01,.1205E+01,.1205E+01,.1293E+01
.4490E+03,.1300E+01,.1208E+01,.1208E+01,.1300E+01
.4500E+03,.1339E+01,.1242E+01,.1242E+01,.1339E+01
.4510E+03,.1391E+01,.1288E+01,.1288E+01,.1391E+01
.4520E+03,.1343E+01,.1240E+01,.1240E+01,.1343E+01
.4530E+03,.1265E+01,.1166E+01,.1166E+01,.1265E+01
.4540E+03,.1323E+01,.1217E+01,.1217E+01,.1323E+01
.4550E+03,.1333E+01,.1224E+01,.1224E+01,.1333E+01
.4560E+03,.1368E+01,.1253E+01,.1253E+01,.1368E+01
.4570E+03,.1393E+01,.1273E+01,.1273E+01,.1393E+01
.4580E+03,.1349E+01,.1230E+01,.1230E+01,.1349E+01
.4590E+03,.1344E+01,.1223E+01,.1223E+01,.1344E+01
.4600E+03,.1350E+01,.1226E+01,.1226E+01,.1350E+01
.4610E+03,.1383E+01,.1254E+01,.1254E+01,.1383E+01
.4620E+03,.1396E+01,.1263E+01,.1263E+01,.1396E+01
.4630E+03,.1389E+01,.1254E+01,.1254E+01,.1389E+01
.4640E+03,.1367E+01,.1232E+01,.1232E+01,.1367E+01
.4650E+03,.1351E+01,.1216E+01,.1216E+01,.1351E+01
.4660E+03,.1366E+01,.1227E+01,.1227E+01,.1366E+01
.4670E+03,.1344E+01,.1205E+01,.1205E+01,.1344E+01
.4680E+03,.1362E+01,.1219E+01,.1219E+01,.1362E+01
.4690E+03,.1372E+01,.1225E+01,.1225E+01,.1372E+01
.4700E+03,.1331E+01,.1186E+01,.1186E+01,.1331E+01
.4710E+03,.1331E+01,.1184E+01,.1184E+01,.1331E+01
.4720E+03,.1404E+01,.1247E+01,.1247E+01,.1404E+01
.4730E+03,.1389E+01,.1231E+01,.1231E+01,.1389E+01
.4740E+03,.1393E+01,.1233E+01,.1233E+01,.1393E+01
.4750E+03,.1408E+01,.1244E+01,.1244E+01,.1408E+01
.4760E+03,.1369E+01,.1206E+01,.1206E+01,.1369E+01
.4770E+03,.1375E+01,.1210E+01,.1210E+01,.1375E+01
.4780E+03,.1416E+01,.1243E+01,.1243E+01,.1416E+01
.4790E+03,.1408E+01,.1234E+01,.1234E+01,.1408E+01
.4800E+03,.1413E+01,.1236E+01,.1236E+01,.1413E+01
.4810E+03,.1440E+01,.1258E+01,.1258E+01,.1440E+01
.4820E+03,.1449E+01,.1264E+01,.1264E+01,.1449E+01
.4830E+03,.1433E+01,.1248E+01,.1248E+01,.1433E+01
.4840E+03,.1405E+01,.1222E+01,.1222E+01,.1405E+01
.4850E+03,.1341E+01,.1164E+01,.1164E+01,.1341E+01
.4860E+03,.1173E+01,.1017E+01,.1017E+01,.1173E+01
.4870E+03,.1231E+01,.1065E+01,.1065E+01,.1231E+01
.4880E+03,.1352E+01,.1168E+01,.1168E+01,.1352E+01
.4890E+03,.1358E+01,.1172E+01,.1172E+01,.1358E+01
.4900E+03,.1430E+01,.1232E+01,.1232E+01,.1430E+01
.4910E+03,.1407E+01,.1210E+01,.1210E+01,.1407E+01
.4920E+03,.1331E+01,.1143E+01,.1143E+01,.1331E+01
.4930E+03,.1376E+01,.1180E+01,.1180E+01,.1376E+01
.4940E+03,.1391E+01,.1191E+01,.1191E+01,.1391E+01
.4950E+03,.1405E+01,.1201E+01,.1201E+01,.1405E+01
.4960E+03,.1415E+01,.1208E+01,.1208E+01,.1415E+01
.4970E+03,.1439E+01,.1226E+01,.1226E+01,.1439E+01
.4980E+03,.1373E+01,.1168E+01,.1168E+01,.1373E+01
.4990E+03,.1392E+01,.1183E+01,.1183E+01,.1392E+01
.5000E+03,.1354E+01,.1150E+01,.1150E+01,.1354E+01
.5010E+03,.1331E+01,.1129E+01,.1129E+01,.1331E+01
.5020E+03,.1316E+01,.1114E+01,.1114E+01,.1316E+01
.5030E+03,.1373E+01,.1161E+01,.1161E+01,.1373E+01
.5040E+03,.1348E+01,.1137E+01,.1137E+01,.1348E+01
.5050E+03,.1390E+01,.1171E+01,.1171E+01,.1390E+01
.5060E+03,.1438E+01,.1210E+01,.1210E+01,.1438E+01
.5070E+03,.1371E+01,.1152E+01,.1152E+01,.1371E+01
.5080E+03,.1328E+01,.1115E+01,.1115E+01,.1328E+01
.5090E+03,.1365E+01,.1145E+01,.1145E+01,.1365E+01
.5100E+03,.1358E+01,.1137E+01,.1137E+01,.1358E+01
.5110E+03,.1395E+01,.1166E+01,.1166E+01,.1395E+01
.5120E+03,.1411E+01,.1179E+01,.1179E+01,.1411E+01
.5130E+03,.1337E+01,.1116E+01,.1116E+01,.1337E+01
.5140E+03,.1329E+01,.1107E+01,.1107E+01,.1329E+01
.5150E+03,.1317E+01,.1096E+01,.1096E+01,.1317E+01
.5160E+03,.1316E+01,.1093E+01,.1093E+01,.1316E+01
.5170E+03,.1170E+01,.9710E+00,.9710E+00,.1170E+01
.5180E+03,.1232E+01,.1021E+01,.1021E+01,.1232E+01
.5190E+03,.1293E+01,.1070E+01,.1070E+01,.1293E+01
.5200E+03,.1341E+01,.1109E+01,.1109E+01,.1341E+01
.5210E+03,.1355E+01,.1119E+01,.1119E+01,.1355E+01
.5220E+03,.1358E+01,.1120E+01,.1120E+01,.1358E+01
.5230E+03,.1336E+01,.1100E+01,.1100E+01,.1336E+01
.5240E+03,.1386E+01,.1140E+01,.1140E+01,.1386E+01
.5250E+03,.1404E+01,.1153E+01,.1153E+01,.1404E+01
.5260E+03,.1343E+01,.1101E+01,.1101E+01,.1343E+01
.5270E+03,.1267E+01,.1038E+01,.1038E+01,.1267E+01
.5280E+03,.1341E+01,.1097E+01,.1097E+01,.1341E+01
.5290E+03,.1415E+01,.1156E+01,.1156E+01,.1415E+01
.5300E+03,.1396E+01,.1139E+01,.1139E+01,.1396E+01
.5310E+03,.1418E+01,.1156E+01,.1156E+01,.1418E+01
.5320E+03,.1371E+01,.1116E+01,.1116E+01,.1371E+01
.5330E+03,.1332E+01,.1084E+01,.1084E+01,.1332E+01
.5340E+03,.1373E+01,.1115E+01,.1115E+01,.1373E+01
.5350E+03,.1403E+01,.1139E+01,.1139E+01,.1403E+01
.5360E+03,.1417E+01,.1149E+01,.1149E+01,.1417E+01
.5370E+03,.1362E+01,.1103E+01,.1103E+01,.1362E+01
.5380E+03,.1388E+01,.1123E+01,.1123E+01,.1388E+01
.5390E+03,.1378E+01,.1114E+01,.1114E+01,.1378E+01
.5400E+03,.1323E+01,.1068E+01,.1068E+01,.1323E+01
.5410E+03,.1335E+01,.1077E+01,.1077E+01,.1335E+01
.5420E+03,.1379E+01,.1111E+01,.1111E+01,.1379E+01
.5430E+03,.1364E+01,.1098E+01,.1098E+01,.1364E+01
.5440E+03,.1390E+01,.1118E+01,.1118E+01,.1390E+01
.5450E+03,.1386E+01,.1113E+01,.1113E+01,.1386E+01
.5460E+03,.1394E+01,.1119E+01,.1119E+01,.1394E+01
.5470E+03,.1392E+01,.1116E+01,.1116E+01,.1392E+01
.5480E+03,.1375E+01,.1101E+01,.1101E+01,.1375E+01
.5490E+03,.1380E+01,.1105E+01,.1105E+01,.1380E+01
.5500E+03,.1399E+01,.1118E+01,.1118E+01,.1399E+01
.5510E+03,.1383E+01,.1104E+01,.1104E+01,.1383E+01
.5520E+03,.1393E+01,.1112E+01,.1112E+01,.1393E+01
.5530E+03,.1370E+01,.1092E+01,.1092E+01,.1370E+01
.5540E+03,.1403E+01,.1117E+01,.1117E+01,.1403E+01
.5550E+03,.1407E+01,.1119E+01,.1119E+01,.1407E+01
.5560E+03,.1389E+01,.1104E+01,.1104E+01,.1389E+01
.5570E+03,.1347E+01,.1070E+01,.1070E+01,.1347E+01
.5580E+03,.1338E+01,.1061E+01,.1061E+01,.1338E+01
.5590E+03,.1314E+01,.1041E+01,.1041E+01,.1314E+01
.5600E+03,.1332E+01,.1055E+01,.1055E+01,.1332E+01
.5610E+03,.1351E+01,.1069E+01,.1069E+01,.1351E+01
.5620E+03,.1343E+01,.1061E+01,.1061E+01,.1343E+01
.5630E+03,.1382E+01,.1091E+01,.1091E+01,.1382E+01
.5640E+03,.1346E+01,.1062E+01,.1062E+01,.1346E+01
.5650E+03,.1336E+01,.1052E+01,.1052E+01,.1336E+01
.5660E+03,.1317E+01,.1037E+01,.1037E+01,.1317E+01
.5670E+03,.1344E+01,.1057E+01,.1057E+01,.1344E+01
.5680E+03,.1336E+01,.1050E+01,.1050E+01,.1336E+01
.5690E+03,.1313E+01,.1031E+01,.1031E+01,.1313E+01
.5700E+03,.1311E+01,.1028E+01,.1028E+01,.1311E+01
.5710E+03,.1300E+01,.1019E+01,.1019E+01,.1300E+01
.5720E+03,.1337E+01,.1047E+01,.1047E+01,.1337E+01
.5730E+03,.1352E+01,.1057E+01,.1057E+01,.1352E+01
.5740E+03,.1348E+01,.1054E+01,.1054E+01,.1348E+01
.5750E+03,.1325E+01,.1035E+01,.1035E+01,.1325E+01
.5760E+03,.1313E+01,.1025E+01,.1025E+01,.1313E+01
.5770E+03,.1327E+01,.1035E+01,.1035E+01,.1327E+01
.5780E+03,.1307E+01,.1018E+01,.1018E+01,.1307E+01
.5790E+03,.1311E+01,.1021E+01,.1021E+01,.1311E+01
.5800E+03,.1335E+01,.1039E+01,.1039E+01,.1335E+01
.5810E+03,.1341E+01,.1043E+01,.1043E+01,.1341E+01
.5820E+03,.1366E+01,.1062E+01,.1062E+01,.1366E+01
.5830E+03,.1370E+01,.1065E+01,.1065E+01,.1370E+01
.5840E+03,.1382E+01,.1074E+01,.1074E+01,.1382E+01
.5850E+03,.1349E+01,.1047E+01,.1047E+01,.1349E+01
.5860E+03,.1322E+01,.1026E+01,.1026E+01,.1322E+01
.5870E+03,.1354E+01,.1050E+01,.1050E+01,.1354E+01
.5880E+03,.1332E+01,.1032E+01,.1032E+01,.1332E+01
.5890E+03,.1200E+01,.9287E+00,.9287E+00,.1200E+01
.5900E+03,.1254E+01,.9698E+00,.9698E+00,.1254E+01
