Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.5130E+03,.1341E+01,.1118E+01,.1118E+01,.1341E+01
.5140E+03,.1333E+01,.1110E+01,.1110E+01,.1333E+01
.5150E+03,.1321E+01,.1099E+01,.1099E+01,.1321E+01
.5160E+03,.1320E+01,.1097E+01,.1097E+01,.1320E+01
.5170E+03,.1174E+01,.9741E+00,.9741E+00,.1174E+01
.5180E+03,.1236E+01,.1024E+01,.1024E+01,.1236E+01
.5190E+03,.1298E+01,.1074E+01,.1074E+01,.1298E+01
.5200E+03,.1346E+01,.1113E+01,.1113E+01,.1346E+01
.5210E+03,.1360E+01,.1123E+01,.1123E+01,.1360E+01
.5220E+03,.1363E+01,.1124E+01,.1124E+01,.1363E+01
.5230E+03,.1341E+01,.1104E+01,.1104E+01,.1341E+01
.5240E+03,.1391E+01,.1143E+01,.1143E+01,.1391E+01
.5250E+03,.1409E+01,.1157E+01,.1157E+01,.1409E+01
.5260E+03,.1348E+01,.1106E+01,.1106E+01,.1348E+01
.5270E+03,.1272E+01,.1042E+01,.1042E+01,.1272E+01
.5280E+03,.1347E+01,.1102E+01,.1102E+01,.1347E+01
.5290E+03,.1421E+01,.1161E+01,.1161E+01,.1421E+01
.5300E+03,.1403E+01,.1145E+01,.1145E+01,.1403E+01
.5310E+03,.1426E+01,.1162E+01,.1162E+01,.1426E+01
.5320E+03,.1379E+01,.1122E+01,.1122E+01,.1379E+01
.5330E+03,.1340E+01,.1089E+01,.1089E+01,.1340E+01
.5340E+03,.1380E+01,.1121E+01,.1121E+01,.1380E+01
.5350E+03,.1411E+01,.1145E+01,.1145E+01,.1411E+01
.5360E+03,.1425E+01,.1155E+01,.1155E+01,.1425E+01
.5370E+03,.1370E+01,.1109E+01,.1109E+01,.1370E+01
.5380E+03,.1395E+01,.1129E+01,.1129E+01,.1395E+01
.5390E+03,.1385E+01,.1119E+01,.1119E+01,.1385E+01
.5400E+03,.1328E+01,.1072E+01,.1072E+01,.1328E+01
.5410E+03,.1337E+01,.1078E+01,.1078E+01,.1337E+01
.5420E+03,.1380E+01,.1112E+01,.1112E+01,.1380E+01
.5430E+03,.1370E+01,.1102E+01,.1102E+01,.1370E+01
.5440E+03,.1393E+01,.1120E+01,.1120E+01,.1393E+01
.5450E+03,.1391E+01,.1117E+01,.1117E+01,.1391E+01
.5460E+03,.1395E+01,.1119E+01,.1119E+01,.1395E+01
.5470E+03,.1397E+01,.1119E+01,.1119E+01,.1397E+01
.5480E+03,.1382E+01,.1106E+01,.1106E+01,.1382E+01
.5490E+03,.1388E+01,.1110E+01,.1110E+01,.1388E+01
.5500E+03,.1407E+01,.1124E+01,.1124E+01,.1407E+01
.5510E+03,.1391E+01,.1111E+01,.1111E+01,.1391E+01
.5520E+03,.1403E+01,.1119E+01,.1119E+01,.1403E+01
.5530E+03,.1379E+01,.1099E+01,.1099E+01,.1379E+01
.5540E+03,.1413E+01,.1125E+01,.1125E+01,.1413E+01
.5550E+03,.1417E+01,.1127E+01,.1127E+01,.1417E+01
.5560E+03,.1399E+01,.1112E+01,.1112E+01,.1399E+01
.5570E+03,.1357E+01,.1077E+01,.1077E+01,.1357E+01
.5580E+03,.1348E+01,.1069E+01,.1069E+01,.1348E+01
.5590E+03,.1324E+01,.1049E+01,.1049E+01,.1324E+01
.5600E+03,.1343E+01,.1063E+01,.1063E+01,.1343E+01
.5610E+03,.1362E+01,.1077E+01,.1077E+01,.1362E+01
.5620E+03,.1355E+01,.1070E+01,.1070E+01,.1355E+01
.5630E+03,.1394E+01,.1100E+01,.1100E+01,.1394E+01
.5640E+03,.1357E+01,.1070E+01,.1070E+01,.1357E+01
.5650E+03,.1347E+01,.1061E+01,.1061E+01,.1347E+01
.5660E+03,.1329E+01,.1046E+01,.1046E+01,.1329E+01
.5670E+03,.1355E+01,.1066E+01,.1066E+01,.1355E+01
.5680E+03,.1343E+01,.1055E+01,.1055E+01,.1343E+01
.5690E+03,.1307E+01,.1026E+01,.1026E+01,.1307E+01
.5700E+03,.1312E+01,.1028E+01,.1028E+01,.1312E+01
.5710E+03,.1309E+01,.1026E+01,.1026E+01,.1309E+01
.5720E+03,.1340E+01,.1049E+01,.1049E+01,.1340E+01
.5730E+03,.1357E+01,.1061E+01,.1061E+01,.1357E+01
.5740E+03,.1354E+01,.1058E+01,.1058E+01,.1354E+01
.5750E+03,.1331E+01,.1039E+01,.1039E+01,.1331E+01
.5760E+03,.1320E+01,.1030E+01,.1030E+01,.1320E+01
.5770E+03,.1335E+01,.1041E+01,.1041E+01,.1335E+01
.5780E+03,.1317E+01,.1026E+01,.1026E+01,.1317E+01
.5790E+03,.1323E+01,.1030E+01,.1030E+01,.1323E+01
.5800E+03,.1346E+01,.1048E+01,.1048E+01,.1346E+01
.5810E+03,.1353E+01,.1052E+01,.1052E+01,.1353E+01
.5820E+03,.1378E+01,.1071E+01,.1071E+01,.1378E+01
.5830E+03,.1381E+01,.1073E+01,.1073E+01,.1381E+01
.5840E+03,.1393E+01,.1082E+01,.1082E+01,.1393E+01
.5850E+03,.1359E+01,.1055E+01,.1055E+01,.1359E+01
.5860E+03,.1330E+01,.1031E+01,.1031E+01,.1330E+01
.5870E+03,.1356E+01,.1050E+01,.1050E+01,.1356E+01
.5880E+03,.1311E+01,.1015E+01,.1015E+01,.1311E+01
.5890E+03,.1147E+01,.8859E+00,.8859E+00,.1147E+01
.5900E+03,.1200E+01,.9264E+00,.9264E+00,.1200E+01
